
="",="(1)",="(2)",="(3)"
="",="war_prio_nar",="war_prio_nar",="gdp_g"

="gdp_g",="-0.273",="",=""
="",="(0.173)",="",=""

="GPCP_g",="",="",="0.043**"
="",="",="",="(0.018)"

="R-sq",="0.576",="0.573",="0.140"
="N",="737",="737",="737"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"

="",="(1)",="(2)"
="",="war_prio_nar",="war_prio_nar"

="gdp_g",="-1.240",="-1.240"
="",="(1.179)",="(1.179)"

="R-sq",="-0.057",="-0.057"
="N",="737",="737"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
